draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_atk.1,lambda_atk.2,lambda_atk.3,lambda_atk.4,lambda_def.1,lambda_def.2,lambda_def.3,lambda_def.4,theta.1,theta.2,theta.3,theta.4
28,-6.6705956647132325,0.9232133552360917,0.03474156963999406,3.0,14.0,1.0,10.184651033627567,5.215177487283304e-29,3.0395605382566226e-70,1.6918654243892473e-138,2.1326207628433654e-55,1.1958350368234793e-16,11.110189794112147,3.429080761534988e-20,9.733575862845137e-21,1.230661024400496e-16,3.024456770707689e-24,0.04130066180539909,1.0177501275991248e-26
29,-6.2704681831882,0.8644102042573175,0.03474156963999406,3.0,12.0,1.0,11.202090490062597,2.1357646009422192e-30,7.70963463601577e-72,2.233047766134203e-133,1.987887989931474e-51,8.124948096547214e-16,4.491997440574663,4.6268934431965815e-24,1.5622599598772305e-17,6.484389829174929e-12,9.80299451755262e-28,7.07004009166003e-05,2.557845956875506e-20
30,-5.320351456889625,0.8495997900302953,0.03474156963999406,5.0,35.0,1.0,15.976689979148098,1.3573302497622457e-35,2.6097799558071207e-47,8.489786404984134e-72,3.745501261837209e-19,89.5028362201024,0.12538770983214478,78.55162832694758,2.4976447251487954,2.461825274490654e-25,1.8059265431288828e-52,7.170880144748484e-38,7.552400369960092e-07
31,-4.436115282032347,0.7910086852518368,0.03474156963999406,4.0,22.0,1.0,16.54712368619008,8.558991272653397e-62,7.987368423157464e-33,2.4325480118106638e-52,7.932251304170384e-32,0.06355930474509129,8.470108553095098,6.163986966649915e-09,7.97633351704801e-06,5.18457122370776e-34,4.766618295485701e-48,6.918286404955443e-18,9.63398297838466e-33
32,-4.71799841435984,0.9261920246927624,0.03474156963999406,4.0,16.0,1.0,10.00219388371975,1.8485370238381122e-64,1.8813197843835736e-45,9.994120672707811e-51,9.6732589995163e-35,0.08220039255899225,0.04783772162661737,0.00031357410700144205,1.796671170686785e-08,5.054503246683437e-37,4.6948488534168254e-48,1.0944034098734726e-19,3.816452588614456e-27
33,-5.803925700579953,0.9335596557250799,0.03474156963999406,4.0,31.0,1.0,8.868212874399813,6.645107188930249e-70,7.49274648128246e-43,7.363582827727655e-48,1.2265305343275682e-41,0.07796550630895374,82.93191378155645,0.0018590809684251777,6.706179054386283e-12,4.144547033821596e-43,9.929377848250394e-53,2.4867465979094995e-11,1.3569566415924817e-29
34,-5.266885688358116,0.8643486349459927,0.03474156963999406,4.0,16.0,1.0,10.796763909288547,2.7024374232946276e-73,4.5973908268829536e-48,1.0563244809006184e-51,4.612396100200029e-24,0.0008558406386841111,0.002137784366649133,0.6004433959213926,3.834321054721953e-11,7.621004483849355e-48,5.979945091313278e-57,1.7460575763353461e-12,8.482216162977332e-34
35,-6.52462719494963,0.962488692172858,0.03474156963999406,5.0,49.0,1.0,7.672094401079099,4.002170499792539e-90,1.056589892022429e-62,4.5725484953372335e-58,3.56373563015329e-21,0.030509370708508624,0.0013711922057034372,0.0019403928894443502,7.65230249016451e-08,5.413396862079303e-59,4.1464537147760715e-57,1.5181988807587725e-16,1.5901218673523554e-40
36,-5.503425140901072,0.8815296833673752,0.03474156963999406,6.0,63.0,0.0,9.725291673829581,5.588264702894095e-66,3.472152322649166e-70,2.4200156143572596e-25,9.259727462352022e-23,9.609354452499977e-12,0.049953757538632015,4.984549765395627e-19,3.1983904025890824e-17,1.567557704805421e-36,4.4229217740436264e-42,3.6651649615819627e-28,6.361539571339908e-37
37,-5.660923537489452,0.9372441675286328,0.03474156963999406,5.0,32.0,1.0,13.36690724544028,2.7367350415767222e-68,1.09474870665029e-68,2.267883943533201e-24,2.2798892482581905e-22,5.182823317521661e-12,0.02222046280823242,6.264233202864469e-19,8.31420431158204e-18,3.606339800719279e-38,7.236409951216385e-42,1.8658590356586691e-31,1.7012843633602606e-38
38,-4.829160287577565,0.9230769230769231,0.03474156963999406,3.0,13.0,1.0,11.309082148130615,1.583266756927642e-57,3.149500378059174e-60,3.2618254106531335e-26,1.2381261500337378e-19,1.204774178983473e-15,0.6664470961099085,6.333270590313875e-16,4.266090602971573e-15,1.55395654301482e-33,1.0280520159171842e-37,6.168609496816562e-24,4.444476291998594e-42
39,-4.360868118838425,0.9469560347387821,0.03474156963999406,4.0,20.0,1.0,7.789202869608083,2.6794072989927286e-52,3.377319605384188e-55,1.9432923208791715e-22,8.08226388046893e-18,1.3800808481762454e-17,2.139771386423335e-06,4.698303906950757e-12,1.052786053348619e-14,3.372229366052706e-30,2.455016632855089e-35,9.384631631133602e-33,1.298375614386985e-31
40,-4.391501045004134,0.9026528240443734,0.03474156963999406,3.0,11.0,1.0,8.929205076982303,1.5984347533734402e-52,1.9748567408093195e-48,2.611936155632307e-26,4.93644649969466e-17,1.1392436510231413e-17,1.5092137694620715e-06,3.995758617117104e-12,7.874649308726069e-14,9.258352473825863e-28,6.9321291801655196e-37,4.543787309226951e-34,1.527923850237093e-36
41,-4.520890778203693,0.808731564721582,0.03474156963999406,4.0,16.0,1.0,7.235709291154903,5.438055993628507e-55,1.3250138571935292e-44,3.4840941334342336e-23,5.054923875476555e-22,3.63714173854989e-17,4.777145587489543e-07,6.107630764432624e-13,9.373136093200049e-14,1.1138154765645187e-29,1.1513492730186682e-37,8.78688300444217e-34,1.655053673801702e-38
42,-3.8781606520173,0.9636042463049677,0.03474156963999406,4.0,28.0,1.0,7.617825578680464,2.1464558491830858e-30,1.7704469972525267e-40,4.1580800931978934e-20,3.424999699225567e-22,2.0968038916295472e-17,2.3091154048501782e-05,3.924356708913592e-14,1.958807869064541e-14,5.421737889005343e-26,2.33312901813116e-44,2.518043750775296e-26,2.466981238911865e-46
43,-3.7619548906260434,0.6637688695361957,0.03474156963999406,1.0,3.0,1.0,11.423669656153182,1.255549458264664e-29,7.409203937973176e-39,2.98752333455493e-19,2.244851357010421e-19,3.307186409797635e-17,6.254915262390481e-05,8.533646681122588e-14,1.0486878129477171e-13,1.0548443057744814e-26,2.4450703220922014e-45,3.34977209067509e-27,8.799159696999442e-47
44,-4.068998914746203,0.8148898722293431,0.03474156963999406,3.0,8.0,1.0,12.156757921292119,2.267956712514561e-28,2.65001610238014e-39,3.9714784403899614e-22,9.884533175932618e-22,4.0018105118538224e-17,2.0866357350303035e-05,8.788535081573685e-14,2.317440698472098e-12,3.5612125407205506e-31,5.077545649231072e-48,1.2890491851578251e-29,1.0614884829925536e-46
45,-3.908042237044583,0.9427220555709434,0.03474156963999406,4.0,27.0,1.0,6.206806509740327,5.681408205170326e-26,2.156340074243786e-50,2.9992821738980882e-18,4.7027042605777426e-20,4.324120111885374e-16,3.1008647463794856e-06,1.8869763265651846e-11,4.477743318271771e-17,1.5349987925159203e-30,4.532330292115262e-45,1.0582584625695238e-25,2.2150987297552815e-39
46,-3.9788685083284463,0.7922296334683637,0.03474156963999406,2.0,5.0,1.0,9.404621618030632,3.0230683297992108e-28,9.372925953882766e-52,2.5293824992337062e-17,3.708942522114337e-18,4.1574786590060753e-16,1.3182440620484008e-06,2.8850162887617972e-11,1.5479679301483864e-16,9.015735962233242e-30,1.3341868033018902e-44,2.8326813070711165e-26,4.4968861188242127e-41
47,-3.409685558976207,0.7953295891678948,0.03474156963999406,2.0,6.0,1.0,14.730168159529777,9.668913887365255e-35,6.568796341585177e-52,4.8475079085163844e-17,5.225841470530804e-18,4.647866600032521e-17,2.1727011575518968e-08,8.778122633750804e-09,2.8242476652901006e-14,6.53183871823902e-28,1.7946519519810195e-44,6.946956002244042e-25,2.1533666967024195e-38
48,-4.041541662203258,0.31283674537445283,0.03474156963999406,1.0,2.0,1.0,8.752690645723064,1.3990062261714784e-34,6.744348241129371e-53,1.273467637752293e-15,8.063615516320857e-18,2.456471347120329e-17,5.499880039741934e-09,1.8583110970634768e-08,6.997970462686376e-15,8.610999623649954e-29,6.393329984099186e-45,1.4257021044189037e-25,2.126502775782735e-37
49,-4.041541662203258,0.0,0.03474156963999406,0.0,1.0,1.0,13.66594898283385,1.3990062261714784e-34,6.744348241129371e-53,1.273467637752293e-15,8.063615516320857e-18,2.456471347120329e-17,5.499880039741934e-09,1.8583110970634768e-08,6.997970462686376e-15,8.610999623649954e-29,6.393329984099186e-45,1.4257021044189037e-25,2.126502775782735e-37
50,-4.109526297152456,0.9590854947325821,0.03474156963999406,4.0,15.0,0.0,8.291623944724819,8.458374265271799e-47,1.2541578677845333e-53,2.114594670087558e-24,1.6695320964800915e-19,7.873647326026399e-21,0.0007217990583346432,1.1239832603405629e-10,2.3775265429929073e-16,0.2810114665926485,7.881927333003796e-49,0.01984860188008883,3.7370590296294765e-31
51,-5.851681486741654,0.04729362078646407,0.03474156963999406,2.0,4.0,1.0,15.987581934028121,3.2025925326643064e-43,1.8997782550653176e-56,4.1538164657426434e-24,7.847290783460999e-19,6.612380831215169e-21,0.05936531489222728,2.896178275321805e-10,1.3983774545742887e-16,0.002446719412244487,1.0470856944841897e-50,0.4649519931494205,7.028897759482683e-30
52,-5.851681486741654,0.0,0.03474156963999406,0.0,1.0,1.0,12.442143679226234,3.2025925326643064e-43,1.8997782550653176e-56,4.1538164657426434e-24,7.847290783460999e-19,6.612380831215169e-21,0.05936531489222728,2.896178275321805e-10,1.3983774545742887e-16,0.002446719412244487,1.0470856944841897e-50,0.4649519931494205,7.028897759482683e-30
53,-5.851681486741654,0.0,0.03474156963999406,0.0,1.0,1.0,11.32666640065241,3.2025925326643064e-43,1.8997782550653176e-56,4.1538164657426434e-24,7.847290783460999e-19,6.612380831215169e-21,0.05936531489222728,2.896178275321805e-10,1.3983774545742887e-16,0.002446719412244487,1.0470856944841897e-50,0.4649519931494205,7.028897759482683e-30
54,-3.2767673808709787,0.9,0.03474156963999406,3.0,10.0,1.0,14.808721893714262,1.634317026003713e-35,2.798269323220804e-59,1.7905767160131047e-28,1.9226988325822973e-19,1.6758838460461703e-21,0.0907944579525437,5.417644294901585e-12,4.55228608210554e-16,2.0100445577378875e-05,1.142650400459239e-51,3.897489602969464e-05,5.304743358147785e-25
55,-3.8882936043569316,0.8745494153885554,0.03474156963999406,3.0,8.0,1.0,11.492603555146461,1.2240109815733353e-41,1.8677495036852396e-48,9.313478998633044e-36,5.347357586177695e-28,2.2647843080405686e-19,2.312160682789413,1.639446841770177e-11,1.212758508045936e-22,0.1198309678214989,4.869729477676614e-52,1.8495897925006987e-05,4.958275923416929e-28
56,-3.4772396645664685,0.8417760584031508,0.03474156963999406,4.0,17.0,1.0,6.611931942493855,6.35307819980163e-41,4.523520068684269e-47,1.7631624666855475e-34,9.294162339613982e-24,9.543341444279465e-19,0.13474710081043775,4.051976119634461e-10,3.6255416006853586e-22,0.00014148239746305242,1.9308484588696872e-54,0.021732602028196397,9.649469374595943e-28
57,-4.498981264429062,0.8862798340969874,0.03474156963999406,5.0,32.0,1.0,8.400836449904263,8.378549694442856e-41,1.2516710689598884e-27,2.492385923030819e-27,1.5998847124701627e-39,2.1547995904757876e-16,6.767253703682335e-10,1.1130236422966853e-15,1.2747119186079744e-26,1.5583491654545848e-09,5.494028249546127e-63,1.7530524114800655e-46,0.0012059765251469922
58,-3.989085803376611,0.8164394263621798,0.03474156963999406,4.0,29.0,1.0,13.779332203690615,2.7305125551578813e-53,4.359321661228067e-29,1.6804956675032676e-31,1.3606027666599515e-27,3.2788324785019605e-18,1.7262684136606143e-05,4.5288009584152836e-17,1.0536345168666092e-23,2.0296442407877394e-06,1.6228457055758e-66,1.4510801951758213e-24,8.362287945586947e-09
59,-3.7193123063625535,0.8859038021172045,0.03474156963999406,3.0,12.0,1.0,8.304238900276808,1.167830829449348e-44,2.224030431526751e-29,1.5177735902024082e-32,5.171985418680343e-27,1.1331776780533297e-16,8.103938085281119e-07,5.468132845609075e-19,9.476977244401253e-24,7.137426321159402e-06,3.8648301861415867e-66,2.9899543108807416e-22,1.91223187602711e-06
60,-2.5985006298250255,0.8767404454309705,0.03474156963999406,3.0,10.0,1.0,7.659521758933726,1.0257203072855179e-27,2.66184144738043e-26,2.7983181605084523e-24,7.416570366601837e-25,3.079725196737098e-14,9.98573277537059e-08,6.16643966577049e-17,3.953049473193053e-23,0.0010784039082818034,2.6144074093886095e-67,4.2032404152322235e-09,0.007283935265817536
61,-2.6782483546691083,0.7368278341518446,0.03474156963999406,2.0,7.0,1.0,6.008560258615448,1.6982025590880153e-28,2.6652058460562835e-24,1.1022984993964789e-24,4.1390579372703495e-26,2.900181084311088e-14,1.0223707443814921e-07,2.5285214748326062e-17,4.402664451593344e-23,0.0033789760024008483,1.685021597930633e-67,3.6743327616181064e-11,0.04411472652922058
62,-2.7928627158345307,0.5496742034324411,0.03474156963999406,1.0,3.0,1.0,7.619163104618503,4.435130785837672e-34,3.940956920999097e-24,5.201034546803197e-25,7.070832760675706e-26,3.418889484811732e-14,2.0629127929350786e-07,3.2895006214165434e-17,1.6617601505856312e-23,0.0024347911110143413,7.58067046269481e-68,1.403792273965757e-12,0.006398204903628684
63,-2.7928627158345307,0.18669792761337203,0.03474156963999406,1.0,2.0,1.0,7.714691271021317,4.435130785837672e-34,3.940956920999097e-24,5.201034546803197e-25,7.070832760675706e-26,3.418889484811732e-14,2.0629127929350786e-07,3.2895006214165434e-17,1.6617601505856312e-23,0.0024347911110143413,7.58067046269481e-68,1.403792273965757e-12,0.006398204903628684
64,-2.954165408604581,0.7097956126419972,0.03474156963999406,4.0,19.0,1.0,6.403483433511191,1.6644990052441122e-36,3.768264258928124e-26,6.975282685990988e-26,3.748677922127188e-22,2.7349635761508413e-14,8.415569327032975e-08,1.079131585759701e-17,1.3092309943378188e-23,0.003256013687561322,3.189291151815567e-69,2.0221102972579454e-16,0.0009166590724483283
65,-3.2227717276763315,0.8758151606145286,0.03474156963999406,4.0,24.0,1.0,7.571666334844191,7.048381598849613e-37,4.8119869249422816e-29,6.729793441172499e-28,3.0083605676633116e-27,1.783489165351042e-14,1.4628483571511141e-08,5.589992293607026e-19,2.4452518919454453e-23,0.00448957779943003,1.8353723551890255e-69,2.3991755057277298e-15,0.020875870188151447
66,-5.239419509286108,0.7412428059947441,0.03474156963999406,2.0,6.0,1.0,9.96525979791932,9.020783555625437e-46,3.511030237679851e-29,8.438352893221979e-28,3.674124248126614e-27,2.486428127092253e-14,1.8143068733454578e-08,3.2967576185273517e-18,2.122696577089754e-24,0.3922193175166611,9.745648902587928e-68,2.940088334352836e-12,0.1970081947601381
67,-4.302256952616176,0.9705882352941176,0.03474156963999406,5.0,34.0,1.0,12.474650192140238,1.9011868052456606e-49,7.83931429853904e-39,4.557609160878439e-69,2.766687012082422e-14,1.6683765222718585,1.1968275750339583,4.948444712533543e-12,9.550612904888341e-33,1.1205904197523441e-30,9.06580124590451e-51,1.8155961601593542e-08,6.899136754300157e-17
68,-4.289996400302925,0.8205672246222303,0.03474156963999406,2.0,6.0,1.0,13.298488619101258,2.745611406829484e-44,9.185318652089194e-38,4.7184077688544387e-70,3.0891462125874745e-14,2.1551861409446755,0.20745461149401764,4.421784451749604e-13,3.698599175327411e-32,1.3739284424793133e-30,2.660100913741388e-50,4.0638626759312585e-10,5.717435671703549e-17
69,-5.698754581763296,0.6958938395793296,0.03474156963999406,5.0,36.0,1.0,14.225906598626647,5.714661067528933e-47,5.645025775357902e-61,1.0895555835801406e-91,5.3481351805283435e-24,0.6656002629185366,0.22398848340458297,3.2902181356068226e-19,1.0453678449643578e-42,1.1867835937116872e-05,1.0038112093902272e-51,2.4335270223311974e-08,1.4364852327936375e-32
70,-6.263524982005492,0.8048401812869659,0.03474156963999406,3.0,8.0,1.0,10.133658088466971,7.990343418765907e-52,1.0056402958290611e-57,3.474783279367428e-95,5.958513771216899e-27,0.5538440628863244,3.575057442166393,1.4352331865376677e-18,6.592423849686422e-43,0.2236334198604856,1.971507304569423e-48,5.958922389920998e-10,2.604576250330014e-29
71,-7.380359442221561,0.8716238992024725,0.03474156963999406,3.0,15.0,1.0,10.895031947584073,1.582845445312843e-55,2.805245109160543e-54,1.0447661785389515e-102,1.453076046742845e-24,142.17468485719135,0.03599046060077636,2.5554909302824365e-20,9.861006680633499e-44,8.68288857221105e-09,4.288173017757907e-46,0.0033338109448663123,1.6199000929224415e-37
72,-7.851943016164455,0.8276791950546974,0.03474156963999406,2.0,7.0,1.0,13.318851771968585,1.779515892337046e-63,1.3067683102267042e-55,1.9279753616187065e-103,4.773997893488723e-25,148.79538161128212,0.0016436835215848976,3.2815841572551773e-21,3.5466301948101196e-44,9.042319717513011e-10,1.783473407631161e-45,5.6212686845914464e-05,3.952599732758527e-40
73,-7.0552908028768115,0.8781840649820928,0.03474156963999406,3.0,13.0,1.0,17.635319979121952,1.7627331160760595e-76,5.226272565875264e-61,4.1793499594221163e-106,7.448509819188751e-23,13.649191554234903,0.0056867300081803445,7.656968279866191e-18,2.2325680057530817e-46,3.6192992315172733e-11,3.061661533891882e-51,3.850250520655858e-10,1.0579650995505383e-33
74,-7.5325637993275905,0.7646538452293864,0.03474156963999406,3.0,10.0,1.0,15.470723581390168,2.2189949957116673e-82,1.774165785775335e-52,1.7828519622461048e-103,1.7400341694308324e-23,71.57243388327458,0.07660727235983536,9.463813149420971e-21,2.260880293514722e-49,7.638359324759168e-07,4.465793704919145e-52,3.435696661681661e-16,3.532614725425583e-27
